	America	Freedom
1789	0.0	0.0
1793	0.0	0.0
1797	0.001725625539257981	0.0
1801	0.0	0.002317497103128621
1805	0.0	0.0009233610341643582
1809	0.0	0.000851063829787234
1813	0.0	0.0
1817	0.0	0.0
1821	0.0	0.0
1825	0.0	0.0010291595197255575
1829	0.0	0.0008865248226950354
1833	0.0	0.0
1837	0.00026048450117218026	0.0
1841	0.0	0.00047460844803037496
1845	0.0	0.00020828993959591752
1849	0.0	0.0
1853	0.0	0.0009000900090009
1857	0.0	0.0
1861	0.0	0.0
1865	0.0	0.0
1869	0.0	0.0
1873	0.0	0.0
1877	0.0	0.0
1881	0.0003361344537815126	0.0020168067226890756
1885	0.0	0.0
1889	0.0	0.00045599635202918376
1893	0.0	0.0
1897	0.0	0.00025220680958385876
1901	0.0	0.0018083182640144665
1905	0.0	0.0
1909	0.0005525879535826119	0.0001841959845275373
1913	0.0	0.0
1917	0.0013080444735120995	0.0013080444735120995
1921	0.002705139765554554	0.0015028554253080854
1925	0.0019723865877712033	0.001232741617357002
1929	0.0011242270938729624	0.0008431703204047217
1933	0.0	0.0
1937	0.0	0.0
1941	0.0029895366218236174	0.0037369207772795215
1945	0.0	0.0017953321364452424
1949	0.0	0.004403346543372964
1953	0.0008153281695882593	0.0024459845087647777
1957	0.0024110910186859553	0.0018083182640144665
1961	0.0014652014652014652	0.0029304029304029304
1965	0.0013440860215053765	0.0006720430107526882
1969	0.001885014137606032	0.000942507068803016
1973	0.004994450610432853	0.0011098779134295228
1977	0.001635322976287817	0.0024529844644317253
1981	0.001644736842105263	0.0012335526315789473
1985	0.00234009360374415	0.0039001560062402497
1989	0.0021579628830384117	0.0021579628830384117
1993	0.005632040050062578	0.0
1997	0.0037088548910523874	0.0004636068613815484
2001	0.0018963337547408343	0.0006321112515802782
2005	0.0038910505836575876	0.005350194552529183
2009	0.0020920502092050207	0.0008368200836820083
2013	0.002385496183206107	0.0019083969465648854
2017	0.006181318681318681	0.0
