year	Charles Dickens	Merry Christmas
1800	9.59135930678201e-08	0.0
1801	7.673087445425609e-08	0.0
1802	6.394239537854673e-08	0.0
1803	5.480776746732577e-08	0.0
1804	9.697443863793914e-09	0.0
1805	1.0527961359839213e-08	0.0
1806	1.2510657525816832e-08	0.0
1807	7.262513257444425e-09	0.0
1808	1.1887707453338083e-08	0.0
1809	1.1887707453338083e-08	0.0
1810	1.2832831495858597e-08	0.0
1811	9.657744381996736e-09	0.0
1812	7.553014404391791e-09	0.0
1813	5.570318238414172e-09	0.0
1814	6.319204905379041e-09	7.488866669648684e-10
1815	1.694010709485383e-09	7.488866669648684e-10
1816	1.694010709485383e-09	7.811639335386644e-09
1817	7.488866669648684e-10	7.811639335386644e-09
1818	3.758115088966665e-09	7.811639335386644e-09
1819	3.758115088966665e-09	1.032962972301123e-08
1820	3.758115088966665e-09	1.032962972301123e-08
1821	3.0092284220017973e-09	9.580743056046361e-09
1822	3.0092284220017973e-09	1.0865761877555867e-08
1823	4.130184702181136e-09	3.803009209134091e-09
1824	4.130184702181136e-09	4.88143151297241e-09
1825	1.1209562801793383e-09	5.38101008196179e-09
1826	3.910509757279865e-09	2.8630196943372053e-09
1827	5.90630655494806e-09	3.6613384387810098e-09
1828	5.90630655494806e-09	3.6613384387810098e-09
1829	9.38618960333315e-09	3.2462903793677763e-09
1830	9.146869991586267e-09	4.127927047800231e-09
1831	9.146869991586267e-09	3.0495047439619125e-09
1832	9.146869991586267e-09	3.70493762653317e-09
1833	8.974297685934322e-09	4.452646568913516e-09
1834	1.2245281677536468e-08	3.6543278244697117e-09
1835	6.864688506524885e-08	3.6543278244697117e-09
1836	8.003781085516185e-08	9.063143061435345e-09
1837	8.205821926716389e-08	8.826405320913215e-09
1838	9.440747637613964e-08	1.0943420836184714e-08
1839	1.2030953427150897e-07	1.3320508188538075e-08
1840	1.3055325176480892e-07	1.5280314727813708e-08
1841	1.3507494830581175e-07	1.5280314727813708e-08
1842	9.394047622330553e-08	2.066871404185885e-08
1843	9.275285377847403e-08	1.5579770299264543e-08
1844	1.0217060873531279e-07	1.6166851349705017e-08
1845	1.0653331981659773e-07	1.9620491897853753e-08
1846	1.0376605428876116e-07	1.9558611746057456e-08
1847	1.30473978288137e-07	2.6878761565691482e-08
1848	1.4458425060378692e-07	3.196360230463467e-08
1849	2.2204816778932062e-07	3.048997016768291e-08
1850	2.483891309777521e-07	3.9579553729700885e-08
1851	2.62649220214176e-07	4.3943339887521556e-08
1852	3.248068541747021e-07	4.4907594087817415e-08
1853	3.3328797550374087e-07	4.520615983137434e-08
1854	3.259012260059535e-07	3.92612695370482e-08
1855	3.4937883900251367e-07	3.669644803900545e-08
1856	3.1304055068760916e-07	3.81192672348009e-08
1857	3.0940007889057597e-07	3.3230015564608295e-08
1858	3.2641018776757846e-07	3.411384343264347e-08
1859	2.949872554479173e-07	3.1704730523480455e-08
1860	3.2075357531929125e-07	3.60868315547285e-08
1861	3.469356581068236e-07	3.808939779454639e-08
1862	3.4434375249605053e-07	4.452627016300019e-08
1863	3.4467853993191966e-07	4.8394470399313964e-08
1864	3.64321083777343e-07	6.194273690799232e-08
1865	3.947285733829631e-07	7.340192910630452e-08
1866	4.6938906247565425e-07	7.831206108984848e-08
1867	7.176267047270812e-07	7.264589006540843e-08
1868	8.649388527308994e-07	8.116476912789494e-08
1869	1.0865692680844013e-06	8.039044807617302e-08
1870	1.2160022606622078e-06	8.006057150566903e-08
1871	1.3745845178293945e-06	7.183113659436913e-08
1872	1.4650829192370502e-06	6.659473607482726e-08
1873	1.4241506554364086e-06	7.649290090228078e-08
1874	1.2706061543862494e-06	8.298981920721157e-08
1875	1.2110318315145768e-06	7.942440000923462e-08
1876	1.2070794436372774e-06	8.748950770203529e-08
1877	1.2588903197346163e-06	8.886948827629177e-08
1878	1.2086805603368184e-06	8.869443490766571e-08
1879	1.315411485133414e-06	8.816353767672678e-08
1880	1.426041844102396e-06	8.402877885568419e-08
1881	1.4671617723901624e-06	9.436667726601757e-08
1882	1.5812688129049742e-06	9.795170744350149e-08
1883	1.5675277609261684e-06	1.0154185657386603e-07
1884	1.5876747901139815e-06	1.1065759407204365e-07
1885	1.603038315676843e-06	1.1381981173436933e-07
1886	1.4848210574720205e-06	1.2450156004563594e-07
1887	1.4645246762613949e-06	1.3341233134107305e-07
1888	1.642746578259643e-06	1.2868648216876215e-07
1889	1.5136036982507254e-06	1.3631913122123608e-07
